court,category,count,type,region,year,female_combined,male_combined,total_combined
Нарынский р/суд,physical,27.0,victim,,2022,,,
Таласский г/суд,physical,19.0,victim,,2022,,,
Таласский р/суд,physical,23.0,victim,,2022,,,
Бакай-Атинский р/суд,physical,29.0,victim,,2022,,,
Айтматовский р/суд,physical,47.0,victim,,2022,,,
Манасский р/суд,physical,37.0,victim,,2022,,,
Кадамжайский р/суд,physical,51.0,victim,,2022,,,
Кызыл-Кийский р/суд,physical,23.0,victim,,2022,,,
Лейлекский р/суд,physical,36.0,victim,,2022,,,
Баткенский р/суд,physical,48.0,victim,,2022,,,
Сулюктинский р/суд,physical,9.0,victim,,2022,,,
Итого ,physical,2891.0,victim,,2022,,,
Свердловский р/суд,psychological,279.0,victim,,2022,,,
Аламудунский р/суд,psychological,28.0,victim,,2022,,,
Сокулукский р/суд,psychological,62.0,victim,,2022,,,
Жайылский р/суд,psychological,49.0,victim,,2022,,,
Чуйский р/суд,psychological,0.0,victim,,2022,,,
Московский р/суд,psychological,0.0,victim,,2022,,,
Иссык-Атинский р/суд,psychological,0.0,victim,,2022,,,
Кеминский р/суд,psychological,0.0,victim,,2022,,,
Панфиловский р/суд,psychological,34.0,victim,,2022,,,
Токмокский г/суд,psychological,16.0,victim,,2022,,,
Ак-Сууйский р/суд,psychological,0.0,victim,,2022,,,
Иссык-Кульский р/суд,psychological,0.0,victim,,2022,,,
Жети-Огузский р/суд,psychological,4.0,victim,,2022,,,
Каракольский г/суд,psychological,29.0,victim,,2022,,,
Балыкчинский г/суд,psychological,10.0,victim,,2022,,,
Тонский р/суд,psychological,0.0,victim,,2022,,,
Тюпский р/суд,psychological,0.0,victim,,2022,,,
Ошский г/суд,psychological,19.0,victim,,2022,,,
Кара-Сууйский р/суд,psychological,15.0,victim,,2022,,,
Узгенский р/суд,psychological,0.0,victim,,2022,,,
Ноокатский р/суд,psychological,0.0,victim,,2022,,,
Араванский р/суд,psychological,0.0,victim,,2022,,,
Алайский р/суд,psychological,0.0,victim,,2022,,,
Чон-Алайский р/суд,psychological,1.0,victim,,2022,,,
Жалал-Абадский г/суд,psychological,0.0,victim,,2022,,,
