court,category,count,type,region,year,female_combined,male_combined,total_combined
Жети-Огузский р/суд,age_0_7,0.0,victim,,2022,,,
Каракольский г/суд,age_0_7,0.0,victim,,2022,,,
Балыкчинский г/суд,age_0_7,0.0,victim,,2022,,,
Тонский р/суд,age_0_7,0.0,victim,,2022,,,
Тюпский р/суд,age_0_7,0.0,victim,,2022,,,
Ошский г/суд,age_0_7,0.0,victim,,2022,,,
Кара-Сууйский р/суд,age_0_7,0.0,victim,,2022,,,
Узгенский р/суд,age_0_7,0.0,victim,,2022,,,
Ноокатский р/суд,age_0_7,0.0,victim,,2022,,,
Араванский р/суд,age_0_7,0.0,victim,,2022,,,
Алайский р/суд,age_0_7,0.0,victim,,2022,,,
Чон-Алайский р/суд,age_0_7,0.0,victim,,2022,,,
Жалал-Абадский г/суд,age_0_7,0.0,victim,,2022,,,
Сузакский р/суд,age_0_7,0.0,victim,,2022,,,
Ноокенский р/суд,age_0_7,0.0,victim,,2022,,,
Токтогульский р/суд,age_0_7,0.0,victim,,2022,,,
Базаркоргонский р/суд,age_0_7,0.0,victim,,2022,,,
Ташкумырский г/суд,age_0_7,0.0,victim,,2022,,,
Аксыйский р/суд,age_0_7,0.0,victim,,2022,,,
Майлуусуйский г/суд,age_0_7,0.0,victim,,2022,,,
Чаткальский р/суд,age_0_7,0.0,victim,,2022,,,
Кара-Кульский г/суд,age_0_7,0.0,victim,,2022,,,
Тогу-Тороузский р/суд,age_0_7,0.0,victim,,2022,,,
Ала-Букинский р/суд,age_0_7,0.0,victim,,2022,,,
Нарынский г/суд,age_0_7,0.0,victim,,2022,,,
Кочкорский р/суд,age_0_7,0.0,victim,,2022,,,
Жумгальский р/суд,age_0_7,0.0,victim,,2022,,,
Ат-Башинский р/суд,age_0_7,1.0,victim,,2022,,,
Акталинский р/суд,age_0_7,0.0,victim,,2022,,,
Нарынский р/суд,age_0_7,0.0,victim,,2022,,,
Таласский г/суд,age_0_7,1.0,victim,,2022,,,
Таласский р/суд,age_0_7,0.0,victim,,2022,,,
Бакай-Атинский р/суд,age_0_7,0.0,victim,,2022,,,
Айтматовский р/суд,age_0_7,0.0,victim,,2022,,,
Манасский р/суд,age_0_7,0.0,victim,,2022,,,
Кадамжайский р/суд,age_0_7,0.0,victim,,2022,,,
Кызыл-Кийский р/суд,age_0_7,0.0,victim,,2022,,,
Лейлекский р/суд,age_0_7,0.0,victim,,2022,,,
Баткенский р/суд,age_0_7,0.0,victim,,2022,,,
Сулюктинский р/суд,age_0_7,0.0,victim,,2022,,,
Итого ,age_0_7,2.0,victim,,2022,,,
Свердловский р/суд,age_7_10,0.0,victim,,2022,,,
Аламудунский р/суд,age_7_10,0.0,victim,,2022,,,
Сокулукский р/суд,age_7_10,0.0,victim,,2022,,,
Жайылский р/суд,age_7_10,0.0,victim,,2022,,,
Чуйский р/суд,age_7_10,0.0,victim,,2022,,,
Московский р/суд,age_7_10,0.0,victim,,2022,,,
Иссык-Атинский р/суд,age_7_10,0.0,victim,,2022,,,
Кеминский р/суд,age_7_10,0.0,victim,,2022,,,
Панфиловский р/суд,age_7_10,0.0,victim,,2022,,,
Токмокский г/суд,age_7_10,0.0,victim,,2022,,,
Ак-Сууйский р/суд,age_7_10,0.0,victim,,2022,,,
Иссык-Кульский р/суд,age_7_10,0.0,victim,,2022,,,
Жети-Огузский р/суд,age_7_10,0.0,victim,,2022,,,
Каракольский г/суд,age_7_10,0.0,victim,,2022,,,
Балыкчинский г/суд,age_7_10,0.0,victim,,2022,,,
Тонский р/суд,age_7_10,0.0,victim,,2022,,,
Тюпский р/суд,age_7_10,0.0,victim,,2022,,,
Ошский г/суд,age_7_10,0.0,victim,,2022,,,
Кара-Сууйский р/суд,age_7_10,0.0,victim,,2022,,,
Узгенский р/суд,age_7_10,0.0,victim,,2022,,,
Ноокатский р/суд,age_7_10,0.0,victim,,2022,,,
Араванский р/суд,age_7_10,0.0,victim,,2022,,,
Алайский р/суд,age_7_10,0.0,victim,,2022,,,
Чон-Алайский р/суд,age_7_10,0.0,victim,,2022,,,
Жалал-Абадский г/суд,age_7_10,0.0,victim,,2022,,,
Сузакский р/суд,age_7_10,0.0,victim,,2022,,,
Ноокенский р/суд,age_7_10,1.0,victim,,2022,,,
Токтогульский р/суд,age_7_10,0.0,victim,,2022,,,
Базаркоргонский р/суд,age_7_10,0.0,victim,,2022,,,
Ташкумырский г/суд,age_7_10,0.0,victim,,2022,,,
Аксыйский р/суд,age_7_10,0.0,victim,,2022,,,
Майлуусуйский г/суд,age_7_10,0.0,victim,,2022,,,
Чаткальский р/суд,age_7_10,0.0,victim,,2022,,,
Кара-Кульский г/суд,age_7_10,0.0,victim,,2022,,,
Тогу-Тороузский р/суд,age_7_10,0.0,victim,,2022,,,
Ала-Букинский р/суд,age_7_10,0.0,victim,,2022,,,
Нарынский г/суд,age_7_10,0.0,victim,,2022,,,
Кочкорский р/суд,age_7_10,1.0,victim,,2022,,,
Жумгальский р/суд,age_7_10,0.0,victim,,2022,,,
Ат-Башинский р/суд,age_7_10,0.0,victim,,2022,,,
Акталинский р/суд,age_7_10,0.0,victim,,2022,,,
Нарынский р/суд,age_7_10,0.0,victim,,2022,,,
Таласский г/суд,age_7_10,0.0,victim,,2022,,,
Таласский р/суд,age_7_10,1.0,victim,,2022,,,
Бакай-Атинский р/суд,age_7_10,0.0,victim,,2022,,,
Айтматовский р/суд,age_7_10,0.0,victim,,2022,,,
Манасский р/суд,age_7_10,0.0,victim,,2022,,,
Кадамжайский р/суд,age_7_10,0.0,victim,,2022,,,
Кызыл-Кийский р/суд,age_7_10,0.0,victim,,2022,,,
Лейлекский р/суд,age_7_10,0.0,victim,,2022,,,
Баткенский р/суд,age_7_10,0.0,victim,,2022,,,
Сулюктинский р/суд,age_7_10,0.0,victim,,2022,,,
Итого ,age_7_10,3.0,victim,,2022,,,
Свердловский р/суд,age_10_14,0.0,victim,,2022,,,
Аламудунский р/суд,age_10_14,0.0,victim,,2022,,,
Сокулукский р/суд,age_10_14,0.0,victim,,2022,,,
Жайылский р/суд,age_10_14,0.0,victim,,2022,,,
Чуйский р/суд,age_10_14,0.0,victim,,2022,,,
Московский р/суд,age_10_14,0.0,victim,,2022,,,
Иссык-Атинский р/суд,age_10_14,0.0,victim,,2022,,,
Кеминский р/суд,age_10_14,0.0,victim,,2022,,,
Панфиловский р/суд,age_10_14,0.0,victim,,2022,,,
Токмокский г/суд,age_10_14,0.0,victim,,2022,,,
Ак-Сууйский р/суд,age_10_14,0.0,victim,,2022,,,
Иссык-Кульский р/суд,age_10_14,1.0,victim,,2022,,,
Жети-Огузский р/суд,age_10_14,0.0,victim,,2022,,,
Каракольский г/суд,age_10_14,0.0,victim,,2022,,,
Балыкчинский г/суд,age_10_14,0.0,victim,,2022,,,
Тонский р/суд,age_10_14,0.0,victim,,2022,,,
Тюпский р/суд,age_10_14,0.0,victim,,2022,,,
Ошский г/суд,age_10_14,0.0,victim,,2022,,,
Кара-Сууйский р/суд,age_10_14,0.0,victim,,2022,,,
Узгенский р/суд,age_10_14,0.0,victim,,2022,,,
Ноокатский р/суд,age_10_14,0.0,victim,,2022,,,
Араванский р/суд,age_10_14,0.0,victim,,2022,,,
Алайский р/суд,age_10_14,0.0,victim,,2022,,,
Чон-Алайский р/суд,age_10_14,1.0,victim,,2022,,,
Жалал-Абадский г/суд,age_10_14,0.0,victim,,2022,,,
Сузакский р/суд,age_10_14,0.0,victim,,2022,,,
Ноокенский р/суд,age_10_14,0.0,victim,,2022,,,
Токтогульский р/суд,age_10_14,0.0,victim,,2022,,,
Базаркоргонский р/суд,age_10_14,2.0,victim,,2022,,,
Ташкумырский г/суд,age_10_14,0.0,victim,,2022,,,
Аксыйский р/суд,age_10_14,0.0,victim,,2022,,,
Майлуусуйский г/суд,age_10_14,0.0,victim,,2022,,,
Чаткальский р/суд,age_10_14,0.0,victim,,2022,,,
Кара-Кульский г/суд,age_10_14,0.0,victim,,2022,,,
Тогу-Тороузский р/суд,age_10_14,0.0,victim,,2022,,,
Ала-Букинский р/суд,age_10_14,0.0,victim,,2022,,,
Нарынский г/суд,age_10_14,1.0,victim,,2022,,,
Кочкорский р/суд,age_10_14,1.0,victim,,2022,,,
Жумгальский р/суд,age_10_14,0.0,victim,,2022,,,
Ат-Башинский р/суд,age_10_14,0.0,victim,,2022,,,
Акталинский р/суд,age_10_14,0.0,victim,,2022,,,
Нарынский р/суд,age_10_14,0.0,victim,,2022,,,
Таласский г/суд,age_10_14,0.0,victim,,2022,,,
Таласский р/суд,age_10_14,0.0,victim,,2022,,,
Бакай-Атинский р/суд,age_10_14,0.0,victim,,2022,,,
Айтматовский р/суд,age_10_14,0.0,victim,,2022,,,
Манасский р/суд,age_10_14,0.0,victim,,2022,,,
Кадамжайский р/суд,age_10_14,0.0,victim,,2022,,,
Кызыл-Кийский р/суд,age_10_14,0.0,victim,,2022,,,
Лейлекский р/суд,age_10_14,0.0,victim,,2022,,,
Баткенский р/суд,age_10_14,0.0,victim,,2022,,,
Сулюктинский р/суд,age_10_14,0.0,victim,,2022,,,
Итого ,age_10_14,7.0,victim,,2022,,,
Свердловский р/суд,age_14_18,0.0,victim,,2022,,,
Аламудунский р/суд,age_14_18,0.0,victim,,2022,,,
Сокулукский р/суд,age_14_18,0.0,victim,,2022,,,
Жайылский р/суд,age_14_18,0.0,victim,,2022,,,
Чуйский р/суд,age_14_18,0.0,victim,,2022,,,
Московский р/суд,age_14_18,0.0,victim,,2022,,,
Иссык-Атинский р/суд,age_14_18,1.0,victim,,2022,,,
Кеминский р/суд,age_14_18,0.0,victim,,2022,,,
Панфиловский р/суд,age_14_18,0.0,victim,,2022,,,
Токмокский г/суд,age_14_18,0.0,victim,,2022,,,
Ак-Сууйский р/суд,age_14_18,0.0,victim,,2022,,,
Иссык-Кульский р/суд,age_14_18,0.0,victim,,2022,,,
Жети-Огузский р/суд,age_14_18,0.0,victim,,2022,,,
Каракольский г/суд,age_14_18,1.0,victim,,2022,,,
Балыкчинский г/суд,age_14_18,0.0,victim,,2022,,,
Тонский р/суд,age_14_18,0.0,victim,,2022,,,
Тюпский р/суд,age_14_18,0.0,victim,,2022,,,
Ошский г/суд,age_14_18,0.0,victim,,2022,,,
Кара-Сууйский р/суд,age_14_18,0.0,victim,,2022,,,
Узгенский р/суд,age_14_18,0.0,victim,,2022,,,
Ноокатский р/суд,age_14_18,2.0,victim,,2022,,,
Араванский р/суд,age_14_18,0.0,victim,,2022,,,
Алайский р/суд,age_14_18,0.0,victim,,2022,,,
Чон-Алайский р/суд,age_14_18,0.0,victim,,2022,,,
Жалал-Абадский г/суд,age_14_18,1.0,victim,,2022,,,
Сузакский р/суд,age_14_18,0.0,victim,,2022,,,
Ноокенский р/суд,age_14_18,1.0,victim,,2022,,,
Токтогульский р/суд,age_14_18,0.0,victim,,2022,,,
Базаркоргонский р/суд,age_14_18,1.0,victim,,2022,,,
Ташкумырский г/суд,age_14_18,0.0,victim,,2022,,,
Аксыйский р/суд,age_14_18,0.0,victim,,2022,,,
Майлуусуйский г/суд,age_14_18,0.0,victim,,2022,,,
Чаткальский р/суд,age_14_18,0.0,victim,,2022,,,
Кара-Кульский г/суд,age_14_18,0.0,victim,,2022,,,
Тогу-Тороузский р/суд,age_14_18,0.0,victim,,2022,,,
Ала-Букинский р/суд,age_14_18,0.0,victim,,2022,,,
Нарынский г/суд,age_14_18,1.0,victim,,2022,,,
Кочкорский р/суд,age_14_18,5.0,victim,,2022,,,
Жумгальский р/суд,age_14_18,2.0,victim,,2022,,,
Ат-Башинский р/суд,age_14_18,0.0,victim,,2022,,,
Акталинский р/суд,age_14_18,0.0,victim,,2022,,,
Нарынский р/суд,age_14_18,1.0,victim,,2022,,,
Таласский г/суд,age_14_18,1.0,victim,,2022,,,
Таласский р/суд,age_14_18,0.0,victim,,2022,,,
Бакай-Атинский р/суд,age_14_18,0.0,victim,,2022,,,
Айтматовский р/суд,age_14_18,0.0,victim,,2022,,,
Манасский р/суд,age_14_18,1.0,victim,,2022,,,
Кадамжайский р/суд,age_14_18,0.0,victim,,2022,,,
Кызыл-Кийский р/суд,age_14_18,2.0,victim,,2022,,,
Лейлекский р/суд,age_14_18,0.0,victim,,2022,,,
Баткенский р/суд,age_14_18,0.0,victim,,2022,,,
Сулюктинский р/суд,age_14_18,0.0,victim,,2022,,,
Итого ,age_14_18,21.0,victim,,2022,,,
Свердловский р/суд,age_18_34,115.0,victim,,2022,,,
Аламудунский р/суд,age_18_34,14.0,victim,,2022,,,
Сокулукский р/суд,age_18_34,15.0,victim,,2022,,,
Жайылский р/суд,age_18_34,11.0,victim,,2022,,,
Чуйский р/суд,age_18_34,11.0,victim,,2022,,,
Московский р/суд,age_18_34,5.0,victim,,2022,,,
Иссык-Атинский р/суд,age_18_34,0.0,victim,,2022,,,
Кеминский р/суд,age_18_34,16.0,victim,,2022,,,
Панфиловский р/суд,age_18_34,10.0,victim,,2022,,,
Токмокский г/суд,age_18_34,6.0,victim,,2022,,,
Ак-Сууйский р/суд,age_18_34,15.0,victim,,2022,,,
Иссык-Кульский р/суд,age_18_34,36.0,victim,,2022,,,
Жети-Огузский р/суд,age_18_34,20.0,victim,,2022,,,
Каракольский г/суд,age_18_34,23.0,victim,,2022,,,
Балыкчинский г/суд,age_18_34,22.0,victim,,2022,,,
Тонский р/суд,age_18_34,6.0,victim,,2022,,,
Тюпский р/суд,age_18_34,12.0,victim,,2022,,,
Ошский г/суд,age_18_34,38.0,victim,,2022,,,
Кара-Сууйский р/суд,age_18_34,40.0,victim,,2022,,,
Узгенский р/суд,age_18_34,3.0,victim,,2022,,,
Ноокатский р/суд,age_18_34,18.0,victim,,2022,,,
Араванский р/суд,age_18_34,0.0,victim,,2022,,,
Алайский р/суд,age_18_34,1.0,victim,,2022,,,
Чон-Алайский р/суд,age_18_34,7.0,victim,,2022,,,
Жалал-Абадский г/суд,age_18_34,10.0,victim,,2022,,,
Сузакский р/суд,age_18_34,7.0,victim,,2022,,,
Ноокенский р/суд,age_18_34,8.0,victim,,2022,,,
Токтогульский р/суд,age_18_34,3.0,victim,,2022,,,
Базаркоргонский р/суд,age_18_34,11.0,victim,,2022,,,
Ташкумырский г/суд,age_18_34,7.0,victim,,2022,,,
Аксыйский р/суд,age_18_34,2.0,victim,,2022,,,
Майлуусуйский г/суд,age_18_34,7.0,victim,,2022,,,
Чаткальский р/суд,age_18_34,0.0,victim,,2022,,,
Кара-Кульский г/суд,age_18_34,9.0,victim,,2022,,,
Тогу-Тороузский р/суд,age_18_34,7.0,victim,,2022,,,
Ала-Букинский р/суд,age_18_34,2.0,victim,,2022,,,
Нарынский г/суд,age_18_34,22.0,victim,,2022,,,
Кочкорский р/суд,age_18_34,18.0,victim,,2022,,,
Жумгальский р/суд,age_18_34,18.0,victim,,2022,,,
Ат-Башинский р/суд,age_18_34,23.0,victim,,2022,,,
Акталинский р/суд,age_18_34,4.0,victim,,2022,,,
Нарынский р/суд,age_18_34,14.0,victim,,2022,,,
Таласский г/суд,age_18_34,17.0,victim,,2022,,,
Таласский р/суд,age_18_34,12.0,victim,,2022,,,
Бакай-Атинский р/суд,age_18_34,9.0,victim,,2022,,,
Айтматовский р/суд,age_18_34,19.0,victim,,2022,,,
Манасский р/суд,age_18_34,11.0,victim,,2022,,,
Кадамжайский р/суд,age_18_34,19.0,victim,,2022,,,
Кызыл-Кийский р/суд,age_18_34,14.0,victim,,2022,,,
Лейлекский р/суд,age_18_34,15.0,victim,,2022,,,
Баткенский р/суд,age_18_34,37.0,victim,,2022,,,
Сулюктинский р/суд,age_18_34,9.0,victim,,2022,,,
Итого ,age_18_34,1348.0,victim,,2022,,,
Свердловский р/суд,age_34_50,194.0,victim,,2022,,,
Аламудунский р/суд,age_34_50,26.0,victim,,2022,,,
Сокулукский р/суд,age_34_50,52.0,victim,,2022,,,
Жайылский р/суд,age_34_50,34.0,victim,,2022,,,
Чуйский р/суд,age_34_50,14.0,victim,,2022,,,
Московский р/суд,age_34_50,47.0,victim,,2022,,,
Иссык-Атинский р/суд,age_34_50,106.0,victim,,2022,,,
Кеминский р/суд,age_34_50,21.0,victim,,2022,,,
Панфиловский р/суд,age_34_50,20.0,victim,,2022,,,
Токмокский г/суд,age_34_50,16.0,victim,,2022,,,
Ак-Сууйский р/суд,age_34_50,4.0,victim,,2022,,,
Иссык-Кульский р/суд,age_34_50,50.0,victim,,2022,,,
Жети-Огузский р/суд,age_34_50,34.0,victim,,2022,,,
Каракольский г/суд,age_34_50,28.0,victim,,2022,,,
Балыкчинский г/суд,age_34_50,45.0,victim,,2022,,,
Тонский р/суд,age_34_50,27.0,victim,,2022,,,
Тюпский р/суд,age_34_50,20.0,victim,,2022,,,
Ошский г/суд,age_34_50,55.0,victim,,2022,,,
Кара-Сууйский р/суд,age_34_50,13.0,victim,,2022,,,
Узгенский р/суд,age_34_50,10.0,victim,,2022,,,
Ноокатский р/суд,age_34_50,16.0,victim,,2022,,,
Араванский р/суд,age_34_50,1.0,victim,,2022,,,
Алайский р/суд,age_34_50,3.0,victim,,2022,,,
Чон-Алайский р/суд,age_34_50,1.0,victim,,2022,,,
Жалал-Абадский г/суд,age_34_50,6.0,victim,,2022,,,
Сузакский р/суд,age_34_50,14.0,victim,,2022,,,
Ноокенский р/суд,age_34_50,3.0,victim,,2022,,,
Токтогульский р/суд,age_34_50,16.0,victim,,2022,,,
Базаркоргонский р/суд,age_34_50,7.0,victim,,2022,,,
Ташкумырский г/суд,age_34_50,2.0,victim,,2022,,,
Аксыйский р/суд,age_34_50,1.0,victim,,2022,,,
Майлуусуйский г/суд,age_34_50,5.0,victim,,2022,,,
Чаткальский р/суд,age_34_50,1.0,victim,,2022,,,
Кара-Кульский г/суд,age_34_50,9.0,victim,,2022,,,
Тогу-Тороузский р/суд,age_34_50,14.0,victim,,2022,,,
Ала-Букинский р/суд,age_34_50,11.0,victim,,2022,,,
Нарынский г/суд,age_34_50,36.0,victim,,2022,,,
Кочкорский р/суд,age_34_50,53.0,victim,,2022,,,
Жумгальский р/суд,age_34_50,25.0,victim,,2022,,,
Ат-Башинский р/суд,age_34_50,17.0,victim,,2022,,,
Акталинский р/суд,age_34_50,18.0,victim,,2022,,,
Нарынский р/суд,age_34_50,10.0,victim,,2022,,,
Таласский г/суд,age_34_50,23.0,victim,,2022,,,
Таласский р/суд,age_34_50,16.0,victim,,2022,,,
Бакай-Атинский р/суд,age_34_50,17.0,victim,,2022,,,
Айтматовский р/суд,age_34_50,17.0,victim,,2022,,,
Манасский р/суд,age_34_50,11.0,victim,,2022,,,
Кадамжайский р/суд,age_34_50,32.0,victim,,2022,,,
Кызыл-Кийский р/суд,age_34_50,15.0,victim,,2022,,,
Лейлекский р/суд,age_34_50,17.0,victim,,2022,,,
Баткенский р/суд,age_34_50,11.0,victim,,2022,,,
Сулюктинский р/суд,age_34_50,8.0,victim,,2022,,,
Итого ,age_34_50,1885.0,victim,,2022,,,
Свердловский р/суд,age_50+,67.0,victim,,2022,,,
Аламудунский р/суд,age_50+,5.0,victim,,2022,,,
Сокулукский р/суд,age_50+,12.0,victim,,2022,,,
Жайылский р/суд,age_50+,25.0,victim,,2022,,,
Чуйский р/суд,age_50+,4.0,victim,,2022,,,
Московский р/суд,age_50+,11.0,victim,,2022,,,
Иссык-Атинский р/суд,age_50+,0.0,victim,,2022,,,
Кеминский р/суд,age_50+,14.0,victim,,2022,,,
Панфиловский р/суд,age_50+,14.0,victim,,2022,,,
Токмокский г/суд,age_50+,6.0,victim,,2022,,,
Ак-Сууйский р/суд,age_50+,5.0,victim,,2022,,,
Иссык-Кульский р/суд,age_50+,21.0,victim,,2022,,,
Жети-Огузский р/суд,age_50+,23.0,victim,,2022,,,
Каракольский г/суд,age_50+,16.0,victim,,2022,,,
Балыкчинский г/суд,age_50+,5.0,victim,,2022,,,
Тонский р/суд,age_50+,6.0,victim,,2022,,,
Тюпский р/суд,age_50+,43.0,victim,,2022,,,
Ошский г/суд,age_50+,19.0,victim,,2022,,,
Кара-Сууйский р/суд,age_50+,2.0,victim,,2022,,,
Узгенский р/суд,age_50+,0.0,victim,,2022,,,
Ноокатский р/суд,age_50+,3.0,victim,,2022,,,
Араванский р/суд,age_50+,0.0,victim,,2022,,,
Алайский р/суд,age_50+,2.0,victim,,2022,,,
Чон-Алайский р/суд,age_50+,0.0,victim,,2022,,,
Жалал-Абадский г/суд,age_50+,0.0,victim,,2022,,,
Сузакский р/суд,age_50+,0.0,victim,,2022,,,
Ноокенский р/суд,age_50+,7.0,victim,,2022,,,
Токтогульский р/суд,age_50+,5.0,victim,,2022,,,
Базаркоргонский р/суд,age_50+,1.0,victim,,2022,,,
Ташкумырский г/суд,age_50+,0.0,victim,,2022,,,
Аксыйский р/суд,age_50+,0.0,victim,,2022,,,
Майлуусуйский г/суд,age_50+,1.0,victim,,2022,,,
Чаткальский р/суд,age_50+,1.0,victim,,2022,,,
Кара-Кульский г/суд,age_50+,3.0,victim,,2022,,,
Тогу-Тороузский р/суд,age_50+,0.0,victim,,2022,,,
Ала-Букинский р/суд,age_50+,2.0,victim,,2022,,,
Нарынский г/суд,age_50+,7.0,victim,,2022,,,
Кочкорский р/суд,age_50+,20.0,victim,,2022,,,
Жумгальский р/суд,age_50+,11.0,victim,,2022,,,
Ат-Башинский р/суд,age_50+,9.0,victim,,2022,,,
Акталинский р/суд,age_50+,6.0,victim,,2022,,,
Нарынский р/суд,age_50+,6.0,victim,,2022,,,
Таласский г/суд,age_50+,7.0,victim,,2022,,,
Таласский р/суд,age_50+,9.0,victim,,2022,,,
Бакай-Атинский р/суд,age_50+,11.0,victim,,2022,,,
Айтматовский р/суд,age_50+,11.0,victim,,2022,,,
Манасский р/суд,age_50+,14.0,victim,,2022,,,
Кадамжайский р/суд,age_50+,0.0,victim,,2022,,,
Кызыл-Кийский р/суд,age_50+,0.0,victim,,2022,,,
Лейлекский р/суд,age_50+,4.0,victim,,2022,,,
Баткенский р/суд,age_50+,0.0,victim,,2022,,,
Сулюктинский р/суд,age_50+,4.0,victim,,2022,,,
Итого ,age_50+,549.0,victim,,2022,,,
Свердловский р/суд,higher_edu,74.0,victim,,2022,,,
Аламудунский р/суд,higher_edu,0.0,victim,,2022,,,
Сокулукский р/суд,higher_edu,0.0,victim,,2022,,,
Жайылский р/суд,higher_edu,6.0,victim,,2022,,,
Чуйский р/суд,higher_edu,2.0,victim,,2022,,,
Московский р/суд,higher_edu,1.0,victim,,2022,,,
Иссык-Атинский р/суд,higher_edu,0.0,victim,,2022,,,
Кеминский р/суд,higher_edu,2.0,victim,,2022,,,
Панфиловский р/суд,higher_edu,0.0,victim,,2022,,,
Токмокский г/суд,higher_edu,5.0,victim,,2022,,,
Ак-Сууйский р/суд,higher_edu,0.0,victim,,2022,,,
Иссык-Кульский р/суд,higher_edu,19.0,victim,,2022,,,
Жети-Огузский р/суд,higher_edu,11.0,victim,,2022,,,
Каракольский г/суд,higher_edu,19.0,victim,,2022,,,
Балыкчинский г/суд,higher_edu,6.0,victim,,2022,,,
Тонский р/суд,higher_edu,0.0,victim,,2022,,,
Тюпский р/суд,higher_edu,0.0,victim,,2022,,,
Ошский г/суд,higher_edu,29.0,victim,,2022,,,
Кара-Сууйский р/суд,higher_edu,2.0,victim,,2022,,,
Узгенский р/суд,higher_edu,0.0,victim,,2022,,,
Ноокатский р/суд,higher_edu,0.0,victim,,2022,,,
Араванский р/суд,higher_edu,1.0,victim,,2022,,,
Алайский р/суд,higher_edu,0.0,victim,,2022,,,
Чон-Алайский р/суд,higher_edu,2.0,victim,,2022,,,
Жалал-Абадский г/суд,higher_edu,4.0,victim,,2022,,,
Сузакский р/суд,higher_edu,3.0,victim,,2022,,,
Ноокенский р/суд,higher_edu,3.0,victim,,2022,,,
Токтогульский р/суд,higher_edu,0.0,victim,,2022,,,
Базаркоргонский р/суд,higher_edu,6.0,victim,,2022,,,
Ташкумырский г/суд,higher_edu,0.0,victim,,2022,,,
Аксыйский р/суд,higher_edu,0.0,victim,,2022,,,
Майлуусуйский г/суд,higher_edu,0.0,victim,,2022,,,
Чаткальский р/суд,higher_edu,1.0,victim,,2022,,,
Кара-Кульский г/суд,higher_edu,0.0,victim,,2022,,,
Тогу-Тороузский р/суд,higher_edu,3.0,victim,,2022,,,
Ала-Букинский р/суд,higher_edu,0.0,victim,,2022,,,
Нарынский г/суд,higher_edu,20.0,victim,,2022,,,
Кочкорский р/суд,higher_edu,0.0,victim,,2022,,,
Жумгальский р/суд,higher_edu,3.0,victim,,2022,,,
Ат-Башинский р/суд,higher_edu,12.0,victim,,2022,,,
Акталинский р/суд,higher_edu,5.0,victim,,2022,,,
Нарынский р/суд,higher_edu,8.0,victim,,2022,,,
Таласский г/суд,higher_edu,3.0,victim,,2022,,,
Таласский р/суд,higher_edu,8.0,victim,,2022,,,
Бакай-Атинский р/суд,higher_edu,2.0,victim,,2022,,,
Айтматовский р/суд,higher_edu,9.0,victim,,2022,,,
Манасский р/суд,higher_edu,6.0,victim,,2022,,,
Кадамжайский р/суд,higher_edu,7.0,victim,,2022,,,
Кызыл-Кийский р/суд,higher_edu,6.0,victim,,2022,,,
Лейлекский р/суд,higher_edu,4.0,victim,,2022,,,
Баткенский р/суд,higher_edu,0.0,victim,,2022,,,
Сулюктинский р/суд,higher_edu,0.0,victim,,2022,,,
Итого ,higher_edu,500.0,victim,,2022,,,
Свердловский р/суд,incomplete_higher,1.0,victim,,2022,,,
Аламудунский р/суд,incomplete_higher,0.0,victim,,2022,,,
Сокулукский р/суд,incomplete_higher,0.0,victim,,2022,,,
Жайылский р/суд,incomplete_higher,0.0,victim,,2022,,,
Чуйский р/суд,incomplete_higher,0.0,victim,,2022,,,
Московский р/суд,incomplete_higher,0.0,victim,,2022,,,
Иссык-Атинский р/суд,incomplete_higher,25.0,victim,,2022,,,
Кеминский р/суд,incomplete_higher,0.0,victim,,2022,,,
Панфиловский р/суд,incomplete_higher,0.0,victim,,2022,,,
Токмокский г/суд,incomplete_higher,0.0,victim,,2022,,,
Ак-Сууйский р/суд,incomplete_higher,0.0,victim,,2022,,,
Иссык-Кульский р/суд,incomplete_higher,0.0,victim,,2022,,,
Жети-Огузский р/суд,incomplete_higher,0.0,victim,,2022,,,
Каракольский г/суд,incomplete_higher,0.0,victim,,2022,,,
Балыкчинский г/суд,incomplete_higher,0.0,victim,,2022,,,
Тонский р/суд,incomplete_higher,0.0,victim,,2022,,,
Тюпский р/суд,incomplete_higher,0.0,victim,,2022,,,
Ошский г/суд,incomplete_higher,0.0,victim,,2022,,,
Кара-Сууйский р/суд,incomplete_higher,0.0,victim,,2022,,,
Узгенский р/суд,incomplete_higher,0.0,victim,,2022,,,
Ноокатский р/суд,incomplete_higher,0.0,victim,,2022,,,
Араванский р/суд,incomplete_higher,0.0,victim,,2022,,,
Алайский р/суд,incomplete_higher,0.0,victim,,2022,,,
Чон-Алайский р/суд,incomplete_higher,0.0,victim,,2022,,,
Жалал-Абадский г/суд,incomplete_higher,0.0,victim,,2022,,,
Сузакский р/суд,incomplete_higher,0.0,victim,,2022,,,
Ноокенский р/суд,incomplete_higher,0.0,victim,,2022,,,
Токтогульский р/суд,incomplete_higher,0.0,victim,,2022,,,
Базаркоргонский р/суд,incomplete_higher,0.0,victim,,2022,,,
Ташкумырский г/суд,incomplete_higher,0.0,victim,,2022,,,
Аксыйский р/суд,incomplete_higher,0.0,victim,,2022,,,
Майлуусуйский г/суд,incomplete_higher,0.0,victim,,2022,,,
Чаткальский р/суд,incomplete_higher,0.0,victim,,2022,,,
Кара-Кульский г/суд,incomplete_higher,0.0,victim,,2022,,,
Тогу-Тороузский р/суд,incomplete_higher,0.0,victim,,2022,,,
